InvoiceNo,Quantity,InvoiceDate,CustomerID,Country,StockCode,Description,UnitPrice
536568,3,2011-01-19T03:46,11321,Italy,19020V,CREAM CUPID HEARTS COAT HANGER,8.87
536569,12,2011-01-04T07:57,11858,Italy,90167H,PLASTIC BOTTLE,10.85
536569,8,2011-01-18T13:09,11881,Italy,42568V,WHITE METAL LANTERN,3.09
536572,18,2011-01-30T11:56,11234,Italy,73164Y,WHITE METAL LANTERN,18.21
536572,3,2011-01-08T15:29,15988,Italy,70548E,GLASS JAR,18.56
536573,18,2011-02-01T19:41,17638,Italy,44096L,FRUIT & VEG STORAGE BASKET,23.83
536574,3,2011-01-23T11:11,10999,Italy,52571G,WHITE METAL LANTERN,16.68
536574,18,2010-12-09T23:52,13507,Italy,44734D,PLASTIC BOTTLE,7.86
536575,11,2011-01-30T12:42,18479,Italy,83144R,PLASTIC BOTTLE,4.05
536575,5,2010-12-20T20:23,13447,Italy,53598V,FOOD STORAGE CONTAINER,11.45
536579,10,2011-02-04T16:12,17513,Italy,37141G,WOODEN TRAY,8.45
536581,2,2010-12-01T15:26,12337,Italy,49306E,FOOD STORAGE CONTAINER,8.97
536581,17,2011-01-15T05:07,15672,Italy,76651Q,WHITE HANGING HEART T-LIGHT HOLDER,9.69
536582,9,2011-01-25T22:26,19561,Italy,23712F,WHITE METAL LANTERN,17.10
536582,10,2011-01-22T12:41,19435,Italy,85684L,WHITE METAL LANTERN,12.07
536582,3,2010-12-06T10:38,15632,Italy,42792M,CREAM CUPID HEARTS COAT HANGER,7.56
536584,15,2010-12-19T21:53,17543,Italy,85225M,GLASS JAR,17.75
536587,7,2011-01-24T09:48,18495,Italy,31506H,FOOD STORAGE CONTAINER,7.15
536588,15,2010-12-26T07:52,11870,Italy,38684O,FOOD STORAGE CONTAINER,19.49
536590,3,2010-12-14T09:03,15558,Italy,17896T,FOOD STORAGE CONTAINER,17.30
536591,13,2011-01-05T23:08,17583,Italy,82480A,WHITE HANGING HEART T-LIGHT HOLDER,16.17
536594,1,2010-12-21T10:16,15453,Italy,23391A,FRUIT & VEG STORAGE BASKET,12.81
536597,18,2011-02-07T05:29,17315,Italy,58936E,PLASTIC BOTTLE,3.35
536601,13,2011-01-15T10:41,12064,Italy,67161C,CREAM CUPID HEARTS COAT HANGER,1.41
536601,19,2011-01-08T11:29,18361,Italy,28794H,PLASTIC BOTTLE,23.03
536602,17,2010-12-05T16:28,16592,Italy,14290M,GLASS JAR,21.78
536602,3,2010-12-24T04:37,15180,Italy,12065K,PLASTIC BOTTLE,12.43
536603,7,2010-12-25T23:12,16923,Italy,25469W,CREAM CUPID HEARTS COAT HANGER,14.03
536605,11,2011-01-29T19:49,12953,Italy,46573Z,CREAM CUPID HEARTS COAT HANGER,9.02
536606,14,2011-01-22T10:31,10519,Italy,58111W,GLASS JAR,23.33
536606,17,2010-12-18T11:20,16898,Italy,34529P,CREAM CUPID HEARTS COAT HANGER,11.57
536608,11,2010-12-15T08:05,18761,Italy,16819T,WOODEN TRAY,7.27
536609,1,2010-12-21T11:29,18094,Italy,48703T,GLASS JAR,8.99
536610,10,2011-01-22T06:50,17524,Italy,36188U,WOODEN TRAY,19.40
536610,14,2010-12-31T05:57,14701,Italy,33389S,FOOD STORAGE CONTAINER,24.72
536614,6,2011-02-01T22:34,13870,Italy,17074L,FOOD STORAGE CONTAINER,20.45
536615,3,2011-02-04T15:54,18130,Italy,14624P,PLASTIC BOTTLE,12.84
536615,18,2011-01-16T00:19,14553,Italy,90382B,WHITE HANGING HEART T-LIGHT HOLDER,12.75
536620,11,2011-01-25T15:38,10297,Italy,49432E,CREAM CUPID HEARTS COAT HANGER,8.81
536622,7,2010-12-14T10:38,12365,Italy,11662D,GLASS JAR,15.60
536624,16,2011-02-05T08:45,13567,Italy,80690R,GLASS JAR,22.55
536627,4,2010-12-08T02:10,11003,Italy,44839Y,WHITE HANGING HEART T-LIGHT HOLDER,20.28
536628,2,2010-12-11T17:43,10929,Italy,67231Q,FOOD STORAGE CONTAINER,8.43
536631,10,2010-12-03T08:28,12680,Italy,57881B,GLASS JAR,5.05
536631,20,2011-02-04T07:48,15982,Italy,93510V,FOOD STORAGE CONTAINER,7.10
536633,1,2010-12-01T16:20,16183,Italy,75875H,FRUIT & VEG STORAGE BASKET,6.54
536634,7,2011-02-02T12:56,19339,Italy,63339Q,PLASTIC BOTTLE,2.38
536637,9,2011-01-30T20:49,18693,Italy,40945J,FRUIT & VEG STORAGE BASKET,18.92
536640,6,2011-01-08T08:02,15180,Italy,17911A,FRUIT & VEG STORAGE BASKET,2.88
536647,6,2011-02-02T20:57,19065,Italy,11926N,WOODEN TRAY,7.58
536649,10,2010-12-18T12:46,11010,Italy,41451X,FOOD STORAGE CONTAINER,20.13
536650,2,2010-12-26T09:08,15672,Italy,59938B,CREAM CUPID HEARTS COAT HANGER,23.41
536650,2,2011-01-24T09:54,14667,Italy,61825T,GLASS JAR,11.58
536652,17,2011-01-04T13:54,17954,Italy,35231H,FOOD STORAGE CONTAINER,14.11
536652,7,2010-12-31T15:29,14423,Italy,23648F,WOODEN TRAY,1.88
536652,2,2011-01-08T04:27,13788,Italy,47137X,FOOD STORAGE CONTAINER,3.42
536653,17,2010-12-05T15:01,17399,Italy,29927H,FOOD STORAGE CONTAINER,21.18
536654,7,2011-02-08T11:48,16780,Italy,60158K,FOOD STORAGE CONTAINER,15.84
536661,10,2010-12-19T10:32,13707,Italy,32112L,WHITE METAL LANTERN,13.58
536662,18,2011-01-14T07:54,13003,Italy,67372Y,WHITE METAL LANTERN,1.29
536664,14,2011-01-05T20:10,17039,Italy,31802U,FRUIT & VEG STORAGE BASKET,15.54
536665,20,2011-01-07T06:50,15471,Italy,16386C,CREAM CUPID HEARTS COAT HANGER,16.32
536667,1,2010-12-15T14:05,15771,Italy,75863G,WHITE METAL LANTERN,23.68
536667,1,2010-12-08T01:35,19236,Italy,55075T,WOODEN TRAY,22.09
536672,3,2011-01-30T21:24,18101,Italy,33123E,GLASS JAR,1.17
536672,2,2011-01-20T07:15,15916,Italy,49875P,CREAM CUPID HEARTS COAT HANGER,19.41
536673,15,2011-01-29T07:49,17101,Italy,40014H,GLASS JAR,14.65
536675,3,2010-12-26T20:01,16217,Italy,78945K,WHITE METAL LANTERN,11.58
536677,5,2011-01-24T11:49,15672,Italy,70103B,WHITE HANGING HEART T-LIGHT HOLDER,11.10
536677,4,2010-12-22T04:02,19851,Italy,88447U,FRUIT & VEG STORAGE BASKET,17.69
536678,7,2011-02-07T09:37,17577,Italy,10789H,GLASS JAR,6.36
536680,4,2011-02-07T13:06,11529,Italy,63555Q,PLASTIC BOTTLE,14.83
536684,15,2011-01-07T16:17,16780,Italy,45764D,GLASS JAR,19.19
536686,1,2011-01-12T23:42,14788,Italy,25804M,FRUIT & VEG STORAGE BASKET,6.66
536686,10,2011-01-20T04:48,15102,Italy,97471W,WOODEN TRAY,19.96
536686,18,2011-01-07T10:59,18212,Italy,24561X,FOOD STORAGE CONTAINER,9.98
536687,11,2010-12-11T20:40,17206,Italy,15562Z,WHITE METAL LANTERN,5.69
536690,4,2010-12-12T13:50,14349,Italy,98975L,PLASTIC BOTTLE,6.22
536692,7,2010-12-04T05:40,16897,Italy,29345F,PLASTIC BOTTLE,18.67
536694,3,2011-01-15T23:42,12785,Italy,67422T,FOOD STORAGE CONTAINER,15.41
536695,7,2011-02-01T00:21,13409,Italy,68385Q,FOOD STORAGE CONTAINER,8.81
536699,18,2011-02-07T10:18,18943,Italy,98329K,WHITE HANGING HEART T-LIGHT HOLDER,10.02
536700,6,2010-12-29T22:55,12197,Italy,84113T,WHITE METAL LANTERN,2.70
536702,14,2010-12-03T14:24,15412,Italy,62794U,WHITE METAL LANTERN,22.27
536702,5,2010-12-13T08:55,16431,Italy,64572P,PLASTIC BOTTLE,8.35
536702,17,2010-12-31T21:48,12030,Italy,89988G,WOODEN TRAY,23.65
536706,2,2011-02-03T14:15,15925,Italy,35642P,FRUIT & VEG STORAGE BASKET,3.58
536707,2,2010-12-15T00:36,17463,Italy,34485V,FRUIT & VEG STORAGE BASKET,21.98
536709,6,2010-12-14T20:17,15316,Italy,57845Z,WHITE METAL LANTERN,0.93
536711,17,2011-02-01T17:19,12680,Italy,45791X,WHITE METAL LANTERN,3.87
536711,8,2010-12-18T09:11,13685,Italy,79196B,PLASTIC BOTTLE,18.61
536713,12,2011-01-13T12:27,14495,Italy,21236C,WOODEN TRAY,10.52
536715,15,2011-01-24T02:12,16066,Italy,57246X,WOODEN TRAY,9.65
536717,1,2010-12-04T08:34,18449,Italy,96470A,FRUIT & VEG STORAGE BASKET,16.38
536721,4,2011-01-18T04:50,12928,Italy,33017A,WHITE HANGING HEART T-LIGHT HOLDER,18.14
536722,10,2011-02-06T14:46,18228,Italy,54464B,WHITE HANGING HEART T-LIGHT HOLDER,6.09
536722,11,2011-01-09T19:23,18697,Italy,28276E,CREAM CUPID HEARTS COAT HANGER,23.22
536723,1,2010-12-17T14:33,10838,Italy,78729G,WHITE METAL LANTERN,9.87
536724,10,2010-12-27T13:14,19289,Italy,99948I,CREAM CUPID HEARTS COAT HANGER,3.97
536725,2,2011-01-28T22:50,10321,Italy,78947Z,WHITE HANGING HEART T-LIGHT HOLDER,18.38
536726,14,2010-12-24T02:15,10701,Italy,99558E,FOOD STORAGE CONTAINER,1.88
536728,6,2010-12-04T16:18,15879,Italy,46593F,WHITE HANGING HEART T-LIGHT HOLDER,4.28
536730,17,2011-01-19T13:52,12750,Italy,14603U,FRUIT & VEG STORAGE BASKET,8.41
536730,7,2011-01-29T22:01,18253,Italy,28403I,CREAM CUPID HEARTS COAT HANGER,13.57
536730,12,2010-12-20T05:24,15673,Italy,20645N,FRUIT & VEG STORAGE BASKET,16.94
536732,4,2010-12-08T03:06,12490,Italy,43520E,GLASS JAR,11.55
536734,9,2011-01-11T22:29,12569,Italy,12263I,WHITE HANGING HEART T-LIGHT HOLDER,17.81
536735,7,2011-02-03T06:48,13308,Italy,84634U,FOOD STORAGE CONTAINER,5.49
536736,12,2010-12-12T10:24,10715,Italy,41436T,PLASTIC BOTTLE,19.10
536738,16,2011-01-18T20:20,12516,Italy,45397I,FOOD STORAGE CONTAINER,11.78
536739,4,2010-12-12T07:27,19577,Italy,87278N,CREAM CUPID HEARTS COAT HANGER,22.53
536740,19,2010-12-08T11:20,13188,Italy,10007P,FOOD STORAGE CONTAINER,5.85
536740,4,2010-12-20T12:44,19197,Italy,47677Z,WHITE METAL LANTERN,21.90
536745,13,2010-12-09T18:35,13967,Italy,59564X,FRUIT & VEG STORAGE BASKET,18.72
536745,9,2010-12-22T15:43,11000,Italy,47506D,WHITE HANGING HEART T-LIGHT HOLDER,2.34
536747,3,2011-01-11T08:27,14863,Italy,56594H,WOODEN TRAY,12.01
536751,18,2010-12-02T22:03,13561,Italy,52241C,CREAM CUPID HEARTS COAT HANGER,10.34
536754,18,2011-01-03T18:26,16495,Italy,75947D,CREAM CUPID HEARTS COAT HANGER,4.90
536754,13,2010-12-17T04:09,10466,Italy,13554P,GLASS JAR,2.82
536757,20,2011-01-03T20:53,10127,Italy,36942K,WHITE HANGING HEART T-LIGHT HOLDER,0.84
536757,15,2011-01-27T12:21,11619,Italy,61750B,WHITE HANGING HEART T-LIGHT HOLDER,8.63
536759,18,2010-12-06T22:16,18503,Italy,63855E,FOOD STORAGE CONTAINER,5.74
536759,20,2010-12-26T16:15,19646,Italy,36274K,WHITE HANGING HEART T-LIGHT HOLDER,4.36
536761,10,2010-12-31T17:25,13143,Italy,72289K,PLASTIC BOTTLE,1.08
536764,3,2011-01-03T16:18,12225,Italy,18533I,GLASS JAR,20.23
536765,7,2011-01-17T12:52,14005,Italy,70829F,CREAM CUPID HEARTS COAT HANGER,1.20
536767,20,2011-01-20T03:56,13005,Italy,73429V,FRUIT & VEG STORAGE BASKET,21.78
536770,8,2010-12-08T11:00,19430,Italy,74356Z,WHITE METAL LANTERN,22.22
536771,17,2010-12-04T22:21,13221,Italy,60857E,WHITE METAL LANTERN,14.31
536772,20,2010-12-13T09:33,16209,Italy,76519R,FOOD STORAGE CONTAINER,19.30
536773,1,2010-12-14T19:53,16667,Italy,73705V,PLASTIC BOTTLE,7.98
536774,1,2011-02-03T19:50,14598,Italy,78511B,FOOD STORAGE CONTAINER,16.35
536776,1,2010-12-17T22:16,14865,Italy,77087G,GLASS JAR,18.75
536777,4,2011-01-20T09:46,19814,Italy,48831P,FRUIT & VEG STORAGE BASKET,12.86
536777,6,2011-01-05T11:41,19289,Italy,45411M,FRUIT & VEG STORAGE BASKET,24.13
536778,11,2011-02-05T08:54,17765,Italy,38333I,FOOD STORAGE CONTAINER,20.77
536780,5,2011-02-07T15:50,19874,Italy,28608Q,CREAM CUPID HEARTS COAT HANGER,20.05
536780,19,2010-12-15T13:42,13362,Italy,81753L,PLASTIC BOTTLE,3.13
536781,17,2011-01-10T08:36,13327,Italy,90881H,GLASS JAR,8.80
536781,14,2010-12-20T10:03,10013,Italy,81017L,PLASTIC BOTTLE,15.34
536784,12,2011-01-19T12:35,19706,Italy,80699K,CREAM CUPID HEARTS COAT HANGER,10.22
536786,6,2010-12-21T16:16,18421,Italy,52107P,FOOD STORAGE CONTAINER,7.91
536786,20,2010-12-02T19:12,10621,Italy,94447O,WHITE HANGING HEART T-LIGHT HOLDER,2.62
536786,13,2011-01-14T22:54,18250,Italy,64468N,WHITE HANGING HEART T-LIGHT HOLDER,21.33
536787,8,2011-01-07T09:27,17516,Italy,13000P,CREAM CUPID HEARTS COAT HANGER,4.41
536787,20,2011-01-06T15:04,11595,Italy,26852S,PLASTIC BOTTLE,14.91
536788,17,2011-02-03T06:26,15733,Italy,74189C,FOOD STORAGE CONTAINER,23.53
536789,9,2011-01-30T18:29,12267,Italy,62748Q,PLASTIC BOTTLE,4.95
536794,4,2011-01-21T21:29,19291,Italy,46328L,GLASS JAR,22.99
536794,15,2010-12-27T15:08,18131,Italy,17659C,WHITE METAL LANTERN,17.42
536799,7,2011-02-08T04:17,14385,Italy,35691W,WHITE METAL LANTERN,24.28
536799,6,2011-01-04T17:30,19287,Italy,18244G,FRUIT & VEG STORAGE BASKET,4.71
536800,10,2010-12-31T03:49,19356,Italy,98823P,CREAM CUPID HEARTS COAT HANGER,6.61
536801,16,2010-12-20T03:25,12182,Italy,19609A,FRUIT & VEG STORAGE BASKET,8.65
536804,6,2010-12-06T21:36,13447,Italy,74949F,PLASTIC BOTTLE,11.51
536804,18,2011-02-07T15:34,15632,Italy,75660Q,FOOD STORAGE CONTAINER,13.63
536805,4,2010-12-02T08:13,10402,Italy,89179N,FOOD STORAGE CONTAINER,14.55
536807,14,2011-02-07T11:49,19945,Italy,86635D,FOOD STORAGE CONTAINER,18.58
536809,11,2011-01-22T11:16,11198,Italy,38523M,FOOD STORAGE CONTAINER,5.84
536810,10,2011-01-12T23:32,17748,Italy,81082D,GLASS JAR,18.75
536811,4,2011-01-27T06:44,14426,Italy,54667G,PLASTIC BOTTLE,0.83
536811,7,2010-12-12T01:13,15781,Italy,43462C,WOODEN TRAY,17.47
536813,4,2011-01-02T07:39,19347,Italy,62165M,WOODEN TRAY,13.04
536813,9,2010-12-18T18:26,15065,Italy,16072N,WOODEN TRAY,22.89
536816,16,2011-01-05T05:40,11632,Italy,97686R,FOOD STORAGE CONTAINER,0.77
536816,10,2011-01-09T14:57,18699,Italy,34599D,FRUIT & VEG STORAGE BASKET,12.83
